parent_workflow,class_name,isExecuted,execution_duration,warnings,errors,execution_day,execution_month,execution_year,execution_weekday,execution_time,predecessors_class_name:
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,936,0,0,5,3,2021,4,16,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,128,1,0,5,3,2021,4,16,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,1009,0,0,5,3,2021,4,16,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,1731,0,0,5,3,2021,4,16,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,181,0,0,5,3,2021,4,16,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,219,0,0,16,3,2021,1,15,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,105,0,0,16,3,2021,1,15,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,611,0,0,16,3,2021,1,15,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,1066,0,0,16,3,2021,1,15,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,57,0,0,16,3,2021,1,15,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,778,0,0,17,3,2021,2,16,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,283,0,0,17,3,2021,2,16,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,902,0,0,17,3,2021,2,16,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,1645,0,0,17,3,2021,2,16,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,142,0,0,17,3,2021,2,16,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,317,0,0,17,3,2021,2,16,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,116,0,0,17,3,2021,2,16,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,659,0,0,17,3,2021,2,16,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,1117,0,0,17,3,2021,2,16,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,71,0,0,17,3,2021,2,16,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,201,0,0,17,3,2021,2,16,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,84,0,0,17,3,2021,2,16,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,339,0,0,17,3,2021,2,16,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,802,0,0,17,3,2021,2,16,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,47,0,0,17,3,2021,2,16,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,1,122,0,0,17,3,2021,2,16,[]
00_Random_Forest_knimepy,org.knime.base.node.preproc.partition.PartitionNodeFactory,1,248,0,0,17,3,2021,2,16,['org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,1,371,0,0,17,3,2021,2,16,['org.knime.base.node.preproc.partition.PartitionNodeFactory']
00_Random_Forest_knimepy,org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,1,729,0,0,17,3,2021,2,16,"['org.knime.base.node.preproc.partition.PartitionNodeFactory', 'org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3']"
00_Random_Forest_knimepy,org.knime.json.node.container.output.table.ContainerTableOutputNodeFactory,1,41,0,0,17,3,2021,2,16,['org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory']
